"year","month","revenue"
"2022","1","$542,554.91"
"2022","2","$541,351.65"
"2022","3","$589,485.19"
"2022","4","$681,072.98"
"2022","5","$672,369.90"
"2022","6","$661,980.22"
"2022","7","$556,034.23"
"2022","8","$489,422.73"
"2022","9","$585,844.04"
"2022","10","$623,874.39"
"2022","11","$661,304.15"
"2022","12","$877,203.69"
"2023","1","$747,196.22"
"2023","2","$722,632.19"
"2023","3","$883,515.64"
"2023","4","$827,691.07"
"2023","5","$825,319.49"
"2023","6","$808,299.25"
"2023","7","$828,348.86"
"2023","8","$660,877.07"
"2023","9","$658,194.48"
