"carrier_name","carrier_tier","route_id","distance_miles","total_shipments","excursion_shipments","excursion_rate_pct"
"Coastal Regional Pharma Haul","Tier 2","R041",170,31,0,0.00
"Southwind Regional Transport","Tier 2","R041",170,41,1,2.44
"QuickLocal Medical Transport","Tier 3","R041",170,39,2,5.13
"PharmaTrans Direct","Tier 1","R041",170,29,0,0.00
"Palmetto Cold Freight","Tier 2","R041",170,26,1,3.85
"NationalRx Carriers","Tier 1","R041",170,38,0,0.00
"Metro Local Cold Courier","Tier 3","R041",170,34,2,5.88
"MedFreeze Logistics","Tier 1","R041",170,31,0,0.00
"Heartland Regional Rx","Tier 2","R041",170,42,0,0.00
"ColdLine National Freight","Tier 1","R041",170,32,2,6.25
"Southwind Regional Transport","Tier 2","R025",171,28,4,14.29
"Coastal Regional Pharma Haul","Tier 2","R025",171,35,2,5.71
"ColdLine National Freight","Tier 1","R025",171,36,1,2.78
"Heartland Regional Rx","Tier 2","R025",171,42,0,0.00
"MedFreeze Logistics","Tier 1","R025",171,27,0,0.00
"Metro Local Cold Courier","Tier 3","R025",171,26,1,3.85
"NationalRx Carriers","Tier 1","R025",171,33,1,3.03
"Palmetto Cold Freight","Tier 2","R025",171,41,5,12.20
"PharmaTrans Direct","Tier 1","R025",171,39,3,7.69
"QuickLocal Medical Transport","Tier 3","R025",171,43,1,2.33
"Palmetto Cold Freight","Tier 2","R029",208,39,0,0.00
"Coastal Regional Pharma Haul","Tier 2","R029",208,32,1,3.13
"Southwind Regional Transport","Tier 2","R029",208,35,1,2.86
"QuickLocal Medical Transport","Tier 3","R029",208,36,3,8.33
"PharmaTrans Direct","Tier 1","R029",208,43,0,0.00
"ColdLine National Freight","Tier 1","R029",208,29,1,3.45
"NationalRx Carriers","Tier 1","R029",208,34,1,2.94
"Metro Local Cold Courier","Tier 3","R029",208,33,0,0.00
"MedFreeze Logistics","Tier 1","R029",208,40,1,2.50
"Heartland Regional Rx","Tier 2","R029",208,59,1,1.69
"Southwind Regional Transport","Tier 2","R005",221,28,4,14.29
"Coastal Regional Pharma Haul","Tier 2","R005",221,32,3,9.38
"ColdLine National Freight","Tier 1","R005",221,41,0,0.00
"Heartland Regional Rx","Tier 2","R005",221,38,3,7.89
"MedFreeze Logistics","Tier 1","R005",221,39,1,2.56
"Metro Local Cold Courier","Tier 3","R005",221,38,3,7.89
"NationalRx Carriers","Tier 1","R005",221,49,1,2.04
"Palmetto Cold Freight","Tier 2","R005",221,39,4,10.26
"PharmaTrans Direct","Tier 1","R005",221,37,1,2.70
