shipment_id,product_id,carrier_id,route_id,shipment_date,promised_delivery_date,actual_delivery_date,quantity_shipped,quantity_delivered,shipment_value_usd
S000001,P004,C05,R002,2022-05-19,2022-05-23,2022-05-27,405,405,30881.25
S000002,P001,C06,R036,2024-04-05,2024-04-10,2024-04-13,496,496,71920
S000003,P013,C06,R007,2024-08-04,2024-08-06,2024-08-06,386,386,723750
S000004,P020,C10,R024,2022-10-26,2022-10-31,2022-10-31,346,346,5190
S000005,P009,C02,R045,2024-10-06,2024-10-07,2024-10-07,287,287,88970
S000006,P018,C06,R015,2023-09-17,2023-09-18,2023-09-18,118,118,4012
S000007,P007,C06,R037,2023-11-09,2023-11-10,2023-11-10,450,450,1417500
S000008,P018,C05,R035,2024-02-09,2024-02-11,2024-02-11,412,412,14008
S000009,P004,C03,R010,2024-01-25,2024-01-30,2024-01-30,115,115,8768.75
S000010,P011,C05,R008,2022-12-22,2022-12-24,2022-12-24,303,303,875670
S000011,P017,C04,R039,2024-11-02,2024-11-03,2024-11-03,250,250,4625
S000012,P004,C05,R024,2023-10-13,2023-10-18,2023-10-21,278,278,21197.5
S000013,P017,C07,R039,2022-10-06,2022-10-07,2022-10-07,461,461,8528.5
S000014,P012,C09,R029,2023-08-08,2023-08-09,2023-08-09,100,100,398000
S000015,P001,C01,R005,2022-07-19,2022-07-20,2022-07-20,243,243,35235
S000016,P007,C03,R035,2024-02-06,2024-02-08,2024-02-08,179,179,563850
S000017,P014,C07,R023,2023-06-23,2023-06-24,2023-06-24,313,313,1940600
S000018,P011,C04,R007,2022-11-26,2022-11-28,2022-11-28,116,116,335240
S000019,P004,C09,R004,2023-09-18,2023-09-22,2023-09-22,439,439,33473.75
S000020,P013,C08,R017,2023-02-11,2023-02-12,2023-02-12,495,495,928125
S000021,P007,C10,R004,2023-06-08,2023-06-12,2023-06-12,163,163,513450
S000022,P020,C04,R005,2023-09-30,2023-10-01,2023-10-01,118,118,1770
S000023,P019,C09,R037,2024-10-28,2024-10-29,2024-10-29,135,135,3071.25
S000024,P010,C06,R030,2024-05-02,2024-05-05,2024-05-05,246,246,1377600
S000025,P010,C08,R011,2023-04-05,2023-04-06,2023-04-06,87,87,487200
