log_id,shipment_id,reading_timestamp,recorded_temperature_c,within_range
L00000001,S000001,2022-05-19 02:00:00,3.6,True
L00000002,S000001,2022-05-20 04:40:00,6.0,True
L00000003,S000001,2022-05-20 10:20:00,5.6,True
L00000004,S000001,2022-05-20 09:00:00,6.8,True
L00000005,S000001,2022-05-20 18:40:00,3.2,True
L00000006,S000001,2022-05-21 07:20:00,4.4,True
L00000007,S000001,2022-05-21 22:00:00,3.3,True
L00000008,S000001,2022-05-22 09:40:00,6.4,True
L00000009,S000001,2022-05-23 05:20:00,4.6,True
L00000010,S000001,2022-05-23 19:00:00,3.4,True
L00000011,S000002,2024-04-05 05:00:00,6.8,True
L00000012,S000002,2024-04-06 11:20:00,4.7,True
L00000013,S000002,2024-04-06 15:40:00,4.4,True
L00000014,S000002,2024-04-07 02:00:00,7.3,True
L00000015,S000002,2024-04-07 13:20:00,6.2,True
L00000016,S000002,2024-04-07 22:40:00,4.1,True
L00000017,S000002,2024-04-08 14:00:00,5.4,True
L00000018,S000002,2024-04-09 07:20:00,5.1,True
L00000019,S000002,2024-04-09 13:40:00,7.5,True
L00000020,S000002,2024-04-10 02:00:00,6.9,True
L00000021,S000003,2024-08-04 03:00:00,6.8,True
L00000022,S000003,2024-08-04 21:36:00,4.2,True
L00000023,S000003,2024-08-04 21:12:00,3.8,True
L00000024,S000003,2024-08-05 21:48:00,5.2,True
L00000025,S000003,2024-08-05 23:24:00,3.1,True
L00000026,S000003,2024-08-06 20:00:00,6.6,True
L00000027,S000004,2022-10-26 07:00:00,4.6,True
L00000028,S000004,2022-10-26 15:00:00,4.4,True
L00000029,S000004,2022-10-27 12:00:00,3.9,True
L00000030,S000004,2022-10-27 20:00:00,2.4,True
L00000031,S000004,2022-10-28 14:00:00,3.4,True
L00000032,S000004,2022-10-29 08:00:00,6.1,True
L00000033,S000004,2022-10-29 11:00:00,6.6,True
L00000034,S000004,2022-10-29 17:00:00,5.6,True
L00000035,S000004,2022-10-30 11:00:00,7.3,True
L00000036,S000004,2022-10-30 23:00:00,5.8,True
L00000037,S000004,2022-10-31 06:00:00,7.2,True
L00000038,S000005,2024-10-06 08:00:00,4.1,True
L00000039,S000005,2024-10-07 08:00:00,2.6,True
L00000040,S000005,2024-10-07 22:00:00,4.0,True
